12_Mar,133.0,40.0,43.0,59.0,8.0,40.0,0.0,6.0,32.0,13.0,50.0,36.0,38.0,24.0,11.0,3.0
13_Mar,123.0,34.0,29.0,48.0,12.0,39.0,1.0,15.0,33.0,16.0,48.0,45.0,26.0,11.0,2.0,2.0
14_Mar,100.0,25.0,21.0,51.0,6.0,27.0,0.0,2.0,31.0,11.0,34.0,22.0,31.0,21.0,8.0,12.0
15_Mar,114.0,24.0,20.0,66.0,4.0,31.0,3.0,4.0,34.0,6.0,38.0,23.0,23.0,14.0,8.0,5.0
16_Mar,153.0,33.0,35.0,85.0,12.0,55.0,1.0,9.0,44.0,8.0,44.0,28.0,29.0,17.0,9.0,9.0
17_Mar,176.0,38.0,29.0,85.0,7.0,58.0,1.0,3.0,38.0,18.0,73.0,27.0,41.0,17.0,6.0,9.0
